pl_name,hostname,pl_orbper
TOI-421 c,TOI-421,16.067531
HD 219134 b,HD 219134,3.0931
Kepler-785 b,Kepler-785,1.973760926
TOI-4463 A b,TOI-4463 A,2.88069
KELT-4 A b,KELT-4 A,2.9895932
TOI-2088 b,TOI-2088,124.72997
Kepler-1396 b,Kepler-1396,18.22077
Kepler-377 b,Kepler-377,12.5094525
Kepler-32 f,Kepler-32,0.742956
Kepler-104 d,Kepler-104,51.75530504
Kepler-892 b,Kepler-892,13.7520639192
Kepler-399 b,Kepler-399,14.4252635
Kepler-752 b,Kepler-752,18.82747265
Kepler-1663 b,Kepler-1663,17.604437
HD 156098 c,HD 156098,7841.5839
KOI-351 e,KOI-351,91.94069
HATS-1 b,HATS-1,3.44645559
WASP-181 b,WASP-181,4.51949982
WASP-135 b,WASP-135,1.4013784007
TOI-2338 b,TOI-2338,22.6539607
TOI-1807 b,TOI-1807,0.54937
KOI-217 b,KOI-217,3.905081685
Kepler-1178 b,Kepler-1178,31.8087353632
Kepler-319 c,Kepler-319,6.94135824
Kepler-1456 b,Kepler-1456,18.1373829
Kepler-414 c,Kepler-414,7.170732075
Kepler-334 d,Kepler-334,25.09852783
HD 141004 b,HD 141004,15.5083
Kepler-1184 b,Kepler-1184,53.59923
OGLE-2017-BLG-0448L b,OGLE-2017-BLG-0448L,
Kepler-1954 b,Kepler-1954,5.88350251
Kepler-636 b,Kepler-636,16.080661147
Kepler-963 c,Kepler-963,0.919783
TOI-5678 b,TOI-5678,119.3355264
TRAPPIST-1 g,TRAPPIST-1,12.35294
HAT-P-21 b,HAT-P-21,4.1244833
K2-34 b,K2-34,2.99561
55 Cnc c,55 Cnc,44.3827
LHS 1815 b,LHS 1815,3.8142907
GJ 9827 d,GJ 9827,6.2014698
TOI-125 b,TOI-125,4.65382
Qatar-4 b,Qatar-4,1.8053564
GJ 367 b,GJ 367,0.3219233
K2-30 b,K2-30,4.0984897
Kepler-102 d,Kepler-102,10.31173752
Kepler-491 b,Kepler-491,4.22534982536
Kepler-1873 b,Kepler-1873,0.5588406
WASP-85 A b,WASP-85 A,2.655674403
Kepler-411 b,Kepler-411,3.005155704
TRAPPIST-1 b,TRAPPIST-1,1.51087
K2-19 c,K2-19,11.907625
TOI-2169 A b,TOI-2169 A,8.2148282
TOI-3135 b,TOI-3135,3.7065603
HATS-25 b,HATS-25,4.2986432
Kepler-63 b,Kepler-63,9.434151089
K2-43 b,K2-43,3.4712802624
K2-265 b,K2-265,2.369172
TOI-1181 b,TOI-1181,2.103189
TOI-6651 b,TOI-6651,5.056973
Kepler-75 b,Kepler-75,8.884924
Kepler-411 c,Kepler-411,7.83446882553
Kepler-506 b,Kepler-506,
WASP-149 b,WASP-149,1.33282518275
TRAPPIST-1 b,TRAPPIST-1,1.5108261
TOI-1246 e,TOI-1246,37.9216
HD 104067 b,HD 104067,55.806
HAT-P-17 b,HAT-P-17,10.338523
HAT-P-17 b,HAT-P-17,10.33852
HAT-P-17 b,HAT-P-17,
HAT-P-17 b,HAT-P-17,10.338523
HAT-P-17 b,HAT-P-17,
HAT-P-17 b,HAT-P-17,10.3385346
HAT-P-17 b,HAT-P-17,10.338505
HAT-P-17 b,HAT-P-17,10.3385358
HAT-P-17 b,HAT-P-17,10.33853522
HAT-P-17 b,HAT-P-17,10.33853781
HAT-P-17 b,HAT-P-17,10.338524
HAT-P-17 c,HAT-P-17,1610.0
HAT-P-17 c,HAT-P-17,5584.0
HAT-P-17 c,HAT-P-17,3972.0
HAT-P-45 b,HAT-P-45,3.128992
Kepler-76 b,Kepler-76,1.544928883
Kepler-450 d,Kepler-450,7.5144704
Kepler-1891 b,Kepler-1891,4.0223109
Kepler-91 b,Kepler-91,6.24667547
WASP-151 b,WASP-151,4.53346998242
KPS-1 b,KPS-1,1.7063264
WASP-118 b,WASP-118,4.04605063
Kepler-314 b,Kepler-314,2.46106655
55 Cnc b,55 Cnc,14.647
TOI-1470 b,TOI-1470,2.52728224244
TOI-2445 b,TOI-2445,0.3711281
HAT-P-54 b,HAT-P-54,3.80001
Kepler-435 b,Kepler-435,8.600153301
Kepler-450 b,Kepler-450,28.45489091
XO-7 b,XO-7,2.8641413
TOI-270 b,TOI-270,
K2-330 b,K2-330,13.773826
Kepler-77 b,Kepler-77,3.578780551
K2-138 e,K2-138,8.2616616
K2-275 b,K2-275,3.28102986099
K2-97 b,K2-97,8.4061
K2-138 g,K2-138,41.96645
55 Cnc e,55 Cnc,2.808
TOI-1260 b,TOI-1260,3.12746344589
TOI-905 b,TOI-905,3.73957156087
TOI-1136 e,TOI-1136,18.80693
WASP-168 b,WASP-168,4.153658
LHS 1478 b,LHS 1478,1.94954033784
Kepler-68 c,Kepler-68,9.604869
WASP-120 b,WASP-120,3.61126646
HAT-P-14 b,HAT-P-14,4.627664
HD 196067 b,HD 196067,3413.7
Kepler-208 d,Kepler-208,11.131786
Kepler-590 b,Kepler-590,5.85296623
Kepler-56 b,Kepler-56,10.5007334
Kepler-1165 c,Kepler-1165,29.96870041
Kepler-1317 b,Kepler-1317,0.5688719526
Kepler-1439 b,Kepler-1439,8.07392
Kepler-191 b,Kepler-191,9.93962361
TOI-5398 c,TOI-5398,4.7728997
HAT-P-62 b,HAT-P-62,2.64521208547
Kepler-65 d,Kepler-65,8.1313594223
GJ 3090 b,GJ 3090,2.8531016
GJ 3090 b,GJ 3090,2.8531054
TOI-2158 b,TOI-2158,8.60077
TOI-5788 c,TOI-5788,16.2134274
TOI-5788 b,TOI-5788,6.3346129
TOI-6716 b,TOI-6716,4.71856903681
TOI-7384 b,TOI-7384,6.23351551622
KOINTREAU-1 b,XEST 17-036,
TOI-6716 b,TOI-6716,4.7185898
TOI-7384 b,TOI-7384,6.2340258
GJ 3090 b,GJ 3090,2.85310198
GJ 3090 c,GJ 3090,15.9407
TOI-4603 b,TOI-4603,7.24599
TOI-776 c,TOI-776,15.665323
Kepler-548 b,Kepler-548,4.454194338
HATS-14 b,HATS-14,2.766764
K2-131 b,K2-131,0.3693038
Kepler-1651 b,Kepler-1651,9.87863917
Kepler-1217 b,Kepler-1217,2.032319072
TOI-1601 b,TOI-1601,5.33175
HATS-12 b,HATS-12,3.142846
TOI-216.01,TOI-216,34.5073
K2-216 b,K2-216,2.1747824
TOI-561 c,TOI-561,10.779
K2-32 b,K2-32,8.991942
OGLE2-TR-L9 b,OGLE2-TR-L9,2.48558063537
Kepler-25 c,Kepler-25,12.720374354
HATS-66 b,HATS-66,3.1414391
TOI-3321 b,TOI-3321,3.6525305
TOI-2081 b,TOI-2081,10.50534
TOI-2084 b,TOI-2084,6.0784031
TOI-5800 b,TOI-5800,2.6282605673
K2-285 b,K2-285,3.471745
WASP-41 b,WASP-41,3.052401
Kepler-371 c,Kepler-371,67.968015
Kepler-432 b,Kepler-432,52.5008645
K2-350 b,K2-350,4.163873
Kepler-446 d,Kepler-446,5.14892826
Kepler-83 c,Kepler-83,20.0903131858
WASP-169 b,WASP-169,5.6114206
TOI-5153 b,TOI-5153,20.33003
WASP-85 A b,WASP-85 A,2.6556817
TOI-1052 b,TOI-1052,9.139703
Kepler-41 b,Kepler-41,1.85555773
Kepler-858 b,Kepler-858,76.13622222
Kepler-74 b,Kepler-74,7.3407146305
K2-27 b,K2-27,6.77093147
TOI-2145 b,TOI-2145,10.261127
KOI-12 b,KOI-12,17.855221681
TOI-2407 b,TOI-2407,2.70291867531
Kepler-37 b,Kepler-37,13.36805
Kepler-7 b,Kepler-7,4.885488953
K2-155 d,K2-155,40.718
TOI-5205 b,TOI-5205,1.630757
KOI-94 e,KOI-94,54.31998605
TOI-1346 b,TOI-1346,1.76225372591
HATS-35 b,HATS-35,1.8210003
TOI-2583 A b,TOI-2583 A,4.52074
HATS-76 b,HATS-76,1.94163656751
Kepler-36 c,Kepler-36,16.230685
Kepler-130 b,Kepler-130,8.45744892
Kepler-289 b,Kepler-289,
HD 63433 c,HD 63433,20.543791
HATS-52 b,HATS-52,1.36665436
KOI-217 b,KOI-217,3.905081
Kepler-396 b,Kepler-396,42.99292187
K2-329 b,K2-329,12.4551225
TOI-564 b,TOI-564,1.65114558035
TOI-880.02,TOI-880,2.57359428214
HATS-29 b,HATS-29,4.6058754
TOI-1630.01,TOI-1630,12.0557353
TOI-521 b,TOI-521,1.54285047
TOI-2346 b,TOI-2346,3.3311975
Kepler-424 b,Kepler-424,3.3118628
Kepler-929 b,Kepler-929,0.9210167252
Kepler-314 b,Kepler-314,
EPIC 211945201 b,EPIC 211945201,19.49183
Kepler-396 b,Kepler-396,42.99255302
Kepler-37 c,Kepler-37,21.30199109
TOI-2260 b,TOI-2260,0.3524728
TOI-3023 b,TOI-3023,3.9014904
K2-371 b,K2-371,3.11489307594
Kepler-211 c,Kepler-211,6.04046688
Kepler-1179 b,Kepler-1179,2.685057492
Kepler-540 b,Kepler-540,172.7049784
Kepler-269 b,Kepler-269,5.32670215
Kepler-893 b,Kepler-893,6.33855761
WASP-44 b,WASP-44,2.42381127
Kepler-203 c,Kepler-203,
NGTS-9 b,NGTS-9,4.435272
K2-19 b,K2-19,7.9222
NGTS-1 b,NGTS-1,2.647298
K2-260 b,K2-260,2.6266657
NGTS-12 b,NGTS-12,7.53376570241
K2-174 b,K2-174,19.56325
Kepler-40 b,Kepler-40,6.8731713878
K2-136 d,K2-136,25.575065
WASP-183 b,WASP-183,4.1117648
HIP 41378 c,HIP 41378,31.70648
Kepler-94 b,Kepler-94,2.508057352
Kepler-670 b,Kepler-670,2.816504852
HIP 8152 c,HIP 8152,6.19132
Kepler-289 b,Kepler-289,34.54363
OGLE-TR-113 b,OGLE-TR-113,1.4324757
Kepler-485 b,Kepler-485,3.243259796
Kepler-855 b,Kepler-855,7.886631104
HAT-P-26 b,HAT-P-26,4.23452
Kepler-68 d,Kepler-68,632.62
TOI-1820 b,TOI-1820,4.860674
Kepler-10 b,Kepler-10,0.837491331
Kepler-624 b,Kepler-624,14.58649856
K2-222 b,K2-222,15.386796
Kepler-423 b,Kepler-423,2.684328485
TOI-6383 A b,TOI-6383 A,1.79058695
KOI-94 e,KOI-94,54.31998605
TOI-4633 c,TOI-4633,271.938638971
K2-3 c,K2-3,24.646582
TOI-1467 b,TOI-1467,5.97199
L 98-59 d,L 98-59,7.4507245
K2-32 e,K2-32,4.34882
55 Cnc e,55 Cnc,0.7365474
LTT 3780 b,LTT 3780,0.768377
TOI-2322 c,TOI-2322,20.22549457472
Kepler-686 b,Kepler-686,1.594745463
K2-136 d,K2-136,25.5715
TOI-4201 b,TOI-4201,3.5809733
TOI-1136 d,TOI-1136,12.51937
TOI-1075 b,TOI-1075,0.6047328
TOI-907.01,TOI-907,4.58491290523
WASP-106 b,WASP-106,9.289715
WASP-106 b,WASP-106,9.28971
WASP-106 b,WASP-106,9.289715
WASP-106 b,WASP-106,9.2897099
WASP-106 b,WASP-106,9.28970063289
WASP-106 b,WASP-106,9.2897065
WASP-106 b,WASP-106,9.2897057
WASP-106 b,WASP-106,9.289718
WASP-106 b,WASP-106,9.28969
WASP-106 b,WASP-106,9.28972
WASP-130 b,WASP-130,11.55098
WASP-130 b,WASP-130,11.5509796
WASP-130 b,WASP-130,11.5509742
WASP-130 b,WASP-130,11.5509734
WASP-130 b,WASP-130,11.5509711
WASP-130 b,WASP-130,11.55098
K2-287 b,K2-287,14.893291
K2-287 b,K2-287,14.89329
K2-287 b,K2-287,14.893289
HD 89345 b,HD 89345,11.8143
TOI-4638.01,TOI-4638,10.283918787
K2-344 b,K2-344,3.3557219
Kepler-896 c,Kepler-896,29.5422963
Kepler-286 d,Kepler-286,5.9142668
TOI-4364 b,TOI-4364,5.424019
TOI-6000 b,TOI-6000,0.44895891195
TOI-1288 b,TOI-1288,2.6998279
TOI-2211.01,TOI-2211,3.09268584419
CoRoT-11 b,CoRoT-11,2.99328197444
TOI-2485 b,TOI-2485,11.23479
Kepler-93 b,Kepler-93,4.726739475
HATS-42 b,HATS-42,2.292102
WASP-99 b,WASP-99,5.75251
TOI-1136 c,TOI-1136,6.25725
TOI-1386 b,TOI-1386,25.8386422
TOI-4406 b,TOI-4406,30.08364
WASP-138 b,WASP-138,3.6344365
TOI-1235 b,TOI-1235,3.444714
HAT-P-58 b,HAT-P-58,4.0138358
HATS-40 b,HATS-40,3.2642813
Kepler-45 b,Kepler-45,
Kepler-210 b,Kepler-210,2.453235899
TOI-4087 b,TOI-4087,3.1774814
GJ 367 b,GJ 367,0.3219225
Kepler-500 b,Kepler-500,8.508403512
Kepler-1542 c,Kepler-1542,
Kepler-468 b,Kepler-468,38.47876629
Kepler-43 b,Kepler-43,3.024092548
Kepler-720 b,Kepler-720,4.708326542
HATS-2 b,HATS-2,1.354133683
Kepler-96 b,Kepler-96,16.23852463176
TOI-2498 b,TOI-2498,3.738252
K2-330 b,K2-330,13.774798
NGTS-9 b,NGTS-9,4.4352884
WASP-57 b,WASP-57,2.838918
Kepler-318 b,Kepler-318,4.662719058
TOI-1443 b,TOI-1443,23.540678
HAT-P-70 b,HAT-P-70,2.7443216
TOI-1937 A b,TOI-1937 A,0.9466787
HATS-71 b,HATS-71,3.7955195
TOI-942 b,TOI-942,4.3263
WASP-169 b,WASP-169,5.61077370946
WASP-141 b,WASP-141,3.31066920056
TOI-1268 b,TOI-1268,8.157728
TOI-238 b,TOI-238,1.273099
TOI-4010 c,TOI-4010,5.41462349278
HD 86226 b,HD 86226,1695.0
K2-370 b,K2-370,2.14084
Kepler-762 b,Kepler-762,3.77055251
Kepler-265 c,Kepler-265,17.02902105
Kepler-1218 b,Kepler-1218,22.9229582451
Kepler-1293 b,Kepler-1293,5.57654784
TOI-1859 b,TOI-1859,63.48347
Kepler-43 b,Kepler-43,3.02409309
TOI-824 b,TOI-824,1.392978
KELT-24 b,KELT-24,5.55149344
HATS-76 b,HATS-76,1.9416423
GJ 1252 b,GJ 1252,0.5182418
K2-344 b,K2-344,3.35585
TOI-2096 b,TOI-2096,3.11907156164
HATS-72 b,HATS-72,7.3279496
TOI-1694 b,TOI-1694,3.77012960887
HD 152843 b,HD 152843,11.62071
HAT-P-69 b,HAT-P-69,4.786958
K2-131 b,K2-131,0.369
Kepler-670 b,Kepler-670,2.8165048928
HAT-P-55 b,HAT-P-55,3.5852467
Kepler-45 b,Kepler-45,
LHS 1140 c,LHS 1140,3.7779329
Kepler-102 c,Kepler-102,7.071392
Kepler-18 d,Kepler-18,14.85890852
WASP-114 b,WASP-114,1.54877501
WASP-31 b,WASP-31,3.4059095
TOI-2000 c,TOI-2000,9.1270519
Kepler-18 b,Kepler-18,3.504761
WASP-53 b,WASP-53,3.30984314
K2-265 b,K2-265,2.3690438
K2-261 b,K2-261,11.6334758
TOI-3160 A b,TOI-3160 A,3.971281
KELT-18 b,KELT-18,2.8717023
NGTS-11 b,NGTS-11,35.4557945
GJ 9827 d,GJ 9827,6.20141
TOI-2134 c,TOI-2134,95.8531625
K2-3 d,K2-3,44.56115
WASP-178 b,WASP-178,3.3448312
HAT-P-11 b,HAT-P-11,4.88780026
WASP-150 b,WASP-150,5.6442072
HAT-P-26 b,HAT-P-26,4.2345002
K2-277 b,K2-277,6.326763
Kepler-785 b,Kepler-785,1.973760777
TOI-700 d,TOI-700,37.42475
TOI-3331 A b,TOI-3331 A,2.0180231
K2-19 b,K2-19,7.919454
Kepler-41 b,Kepler-41,1.8555582
WASP-118 b,WASP-118,4.0460644
TOI-1438 b,TOI-1438,5.1396666
Kepler-723 b,Kepler-723,4.082274889
K2-32 d,K2-32,31.715061
LHS 1678 b,LHS 1678,0.8602325
Kepler-289 c,Kepler-289,125.86590481387
Kepler-25 c,Kepler-25,12.720370495
Kepler-102 e,Kepler-102,16.145690772
HD 50554 b,HD 50554,1240.0
TOI-663 d,TOI-663,7.1027268
Kepler-41 b,Kepler-41,1.8555577
HATS-35 b,HATS-35,1.82069
TOI-561 d,TOI-561,25.71255
Kepler-8 b,Kepler-8,3.522475097
TOI-178 b,TOI-178,1.914558
K2-3 b,K2-3,10.05443
Kepler-493 b,Kepler-493,3.00390101041
TOI-4479 b,TOI-4479,1.1589
Kepler-94 b,Kepler-94,2.50806
TOI-4201 b,TOI-4201,3.5819232
XO-5 b,XO-5,4.18776
Kepler-37 d,Kepler-37,39.79222264
Kepler-660 b,Kepler-660,9.27358173
K2-19 c,K2-19,12.0028
HD 110067 c,HD 110067,13.673694
WASP-124 b,WASP-124,3.37265
KELT-8 b,KELT-8,3.244044
Kepler-18 c,Kepler-18,7.6415676
HIP 41378 e,HIP 41378,
HD 20329 b,HD 20329,0.926118
Kepler-68 e,Kepler-68,4464.424153
TOI-3261 b,TOI-3261,0.8831279
55 Cnc d,55 Cnc,4517.4
WASP-164 b,WASP-164,1.77713739
WASP-193 b,WASP-193,6.2463345
TOI-1439 b,TOI-1439,27.6438617
HD 135694 b,HD 135694,15.92346
Kepler-495 b,Kepler-495,3.41307808909
Kepler-65 c,Kepler-65,5.859938722
K2-216 b,K2-216,2.174789
Kepler-412 b,Kepler-412,1.720861232
K2-117 b,K2-117,1.291626
Kepler-422 b,Kepler-422,7.891448474
HATS-61 b,HATS-61,7.8181434
TOI-700 d,TOI-700,37.42396
Kepler-65 c,Kepler-65,5.8599423985
K2-260 b,K2-260,2.6266974
KOI-94 c,KOI-94,10.423677765
K2-45 b,K2-45,1.7292684
HD 28109 c,HD 28109,56.00450564844
KOI-94 b,KOI-94,3.743175556
HAT-P-50 b,HAT-P-50,3.12201660495
Kepler-937 c,Kepler-937,153.343364
Kepler-1006 b,Kepler-1006,19.76176209
Kepler-645 b,Kepler-645,3.2758187162
Kepler-1023 b,Kepler-1023,62.1385979
Kepler-245 e,Kepler-245,3.219821056
Kepler-685 b,Kepler-685,1.6255222
TOI-1803 b,TOI-1803,6.293287
K2-34 b,K2-34,2.995646
TOI-1130 c,TOI-1130,8.3501898
KELT-4 A b,KELT-4 A,2.989594
WASP-184 b,WASP-184,5.1817
K2-138 c,K2-138,3.56015
WASP-160 B b,WASP-160 B,3.76849254
Kepler-41 b,Kepler-41,1.85555757
K2-105 b,K2-105,8.26698
Kepler-785 b,Kepler-785,1.973760926
TOI-677 b,TOI-677,11.236697
K2-180 b,K2-180,8.8656
K2-31 b,K2-31,1.25781300511
HD 15906 b,HD 15906,10.92454779649
TOI-2368 b,TOI-2368,5.1750108
Kepler-102 f,Kepler-102,27.4536146
TOI-1408 c,TOI-1408,2.2222094
TOI-2120 b,TOI-2120,5.7998164
TOI-908 b,TOI-908,3.18377891634
Kepler-65 c,Kepler-65,5.859935955
TOI-2420 b,TOI-2420,5.84259
TOI-2447 b,TOI-2447,69.33684
Kepler-450 b,Kepler-450,28.45492088
HATS-5 b,HATS-5,4.7633877
Kepler-177 b,Kepler-177,36.8601
Kepler-1088 b,Kepler-1088,23.12748644
Kepler-974 b,Kepler-974,4.19
Kepler-199 b,Kepler-199,
Kepler-683 b,Kepler-683,2.5391797449
Kepler-67 b,Kepler-67,15.72589064
Kepler-203 b,Kepler-203,3.162691238
Kepler-139 d,Kepler-139,7.305706326
Kepler-1325 b,Kepler-1325,33.87854
Kepler-450 d,Kepler-450,7.5143967
HIP 41378 f,HIP 41378,1084.0
K2-100 b,K2-100,1.674
Kepler-450 c,Kepler-450,15.413135
TOI-1173 b,TOI-1173,7.06466
TOI-663 c,TOI-663,4.69559860409
TOI-500 b,TOI-500,0.54815729517
Kepler-65 d,Kepler-65,8.13119911
LHS 1140 b,LHS 1140,24.73723
Kepler-18 d,Kepler-18,14.85891873
TOI-1278 b,TOI-1278,14.47567
TOI-1266 c,TOI-1266,18.80152
HD 158259 f,HD 158259,12.028
NGTS-12 b,NGTS-12,7.532806
Kepler-927 b,Kepler-927,9.1149903
Kepler-247 c,Kepler-247,
Kepler-432 b,Kepler-432,52.5010768
Kepler-1934 b,Kepler-1934,1.419749146
LTT 1445 A b,LTT 1445 A,5.3587657
K2-4 b,K2-4,10.00617969
Kepler-75 b,Kepler-75,8.88495108587
TOI-1898 b,TOI-1898,45.52214555606
HATS-9 b,HATS-9,1.91552575756
WASP-110 b,WASP-110,3.7784022
TOI-530 b,TOI-530,6.387573911
Kepler-68 c,Kepler-68,9.605085
TOI-270 b,TOI-270,3.3601538
K2-97 b,K2-97,8.406951
Kepler-10 c,Kepler-10,45.29427
Kepler-855 b,Kepler-855,7.88663595
Kepler-223 e,Kepler-223,19.7243672
Kepler-1251 b,Kepler-1251,45.0887
Kepler-33 d,Kepler-33,
TOI-776 b,TOI-776,8.2466132695
K2-295 b,K2-295,4.024867
WASP-99 b,WASP-99,5.7525835
TOI-206 b,TOI-206,0.7363104
Kepler-7 b,Kepler-7,4.8854892
HATS-7 b,HATS-7,3.1853109
TOI-178 d,TOI-178,6.5577
Kepler-25 c,Kepler-25,12.7204
Kepler-274 c,Kepler-274,33.1981054
Kepler-1180 b,Kepler-1180,16.8600805
Kepler-924 b,Kepler-924,61.0373591
Kepler-1626 b,Kepler-1626,4.1395268065
Kepler-502 b,Kepler-502,4.286859
Kepler-1359 b,Kepler-1359,59.4970952
Kepler-1767 b,Kepler-1767,59.6585348
Kepler-1179 b,Kepler-1179,2.685058
Kepler-247 b,Kepler-247,3.33616
Kepler-385 d,Kepler-385,56.4148314
Kepler-303 b,Kepler-303,1.937032068
Kepler-377 c,Kepler-377,
TOI-6448 b,TOI-6448,14.8442674
TOI-1736 c,TOI-1736,571.3
Kepler-18 c,Kepler-18,7.641571533
KOI-94 b,KOI-94,3.743166733
TOI-5788 b,TOI-5788,6.340758
TOI-5788 c,TOI-5788,16.213362
WASP-116 b,WASP-116,6.6132132
Kepler-68 b,Kepler-68,5.3987525913
Kepler-10 c,Kepler-10,45.29422297
GJ 3470 b,GJ 3470,3.336649
Kepler-723 b,Kepler-723,4.082274889
TOI-2128 b,TOI-2128,16.3413889021
TOI-2207 b,TOI-2207,8.00048904124
TOI-470 b,TOI-470,12.19145582957
Kepler-424 b,Kepler-424,3.311864499
Kepler-18 d,Kepler-18,14.85888
WASP-22 b,WASP-22,3.5327313
HAT-P-54 b,HAT-P-54,3.79985297
K2-169 b,K2-169,6.37961
55 Cnc c,55 Cnc,44.373
K2-45 b,K2-45,1.7292577
WASP-66 b,WASP-66,4.08604953569
WASP-68 b,WASP-68,5.084298
Kepler-74 b,Kepler-74,7.340714746
TOI-954 b,TOI-954,3.6849729
Kepler-93 b,Kepler-93,4.72673978
Qatar-5 b,Qatar-5,2.8792319
Kepler-422 b,Kepler-422,7.891448838
K2-180 b,K2-180,8.865663
Kepler-506 b,Kepler-506,6.883403
HAT-P-59 b,HAT-P-59,4.14198051012
HATS-70 b,HATS-70,1.8882378
TOI-2093 c,TOI-2093,53.81149
Kepler-37 c,Kepler-37,21.302
HATS-11 b,HATS-11,3.6191634
Kepler-425 b,Kepler-425,3.7970179449
K2-182 b,K2-182,4.737
TOI-700 c,TOI-700,16.051098
HATS-12 b,HATS-12,3.14324025965
TOI-5713 b,TOI-5713,10.441989
WASP-98 b,WASP-98,2.96264191
TrES-5 b,TrES-5,1.48224754
HIP 41378 e,HIP 41378,369.0
TOI-3353.01,TOI-3353,4.6658007
HATS-64 b,HATS-64,4.908897
Kepler-10 b,Kepler-10,
WASP-129 b,WASP-129,5.7481356
Kepler-855 b,Kepler-855,7.886632
TOI-4551 b,TOI-4551,9.956296
TOI-2714 b,TOI-2714,2.4993895
TOI-5301 b,TOI-5301,5.858858
WASP-144 b,WASP-144,2.27831337
TOI-1221 b,TOI-1221,91.68278
TOI-5398 b,TOI-5398,10.590923
KOI-94 c,KOI-94,10.4236368844
K2-39 b,K2-39,4.60808540736
CoRoT-4 b,CoRoT-4,9.20205
HIP 116454 b,HIP 116454,9.1205
TOI-2524 b,TOI-2524,7.18585
55 Cnc d,55 Cnc,5370.0
TOI-2025 b,TOI-2025,8.872078
TOI-669 b,TOI-669,3.945152
HD 110067 d,HD 110067,20.519617
Kepler-858 b,Kepler-858,76.13616356
TOI-5293 A b,TOI-5293 A,2.930289
Kepler-18 b,Kepler-18,3.504687554
Kepler-547 b,Kepler-547,6.010383339
Kepler-335 b,Kepler-335,6.56228956
Kepler-403 d,Kepler-403,13.61165024
HD 154857 b,HD 154857,409.0
HD 34445 c,HD 34445,214.67
Kepler-487 b,Kepler-487,15.358767771
Kepler-422 b,Kepler-422,7.891448474
WASP-124 b,WASP-124,3.3726494
Kepler-1624 b,Kepler-1624,3.290304518
Kepler-102 c,Kepler-102,7.071
WASP-132 b,WASP-132,7.133514
KELT-17 b,KELT-17,3.0801716
Kepler-422 b,Kepler-422,7.89142712368
NGTS-13 b,NGTS-13,4.119027
Kepler-495 c,Kepler-495,5.8966109
WASP-84 b,WASP-84,8.52349665
Kepler-76 b,Kepler-76,1.54492875
Kepler-63 b,Kepler-63,9.4341503479
Kepler-1567 b,Kepler-1567,153.979362
Kepler-57 b,Kepler-57,5.7293201473
HD 113538 c,HD 113538,1818.0
TOI-1782.02,TOI-1782,1.829024227
HD 110067 b,HD 110067,9.113678
HATS-44 b,HATS-44,2.7439001
GJ 9827 c,GJ 9827,3.6481145
Kepler-289 d,Kepler-289,66.0282
TOI-1227 b,TOI-1227,27.36137783684
KOI-94 d,KOI-94,22.342964828
Qatar-5 b,Qatar-5,2.87929997
TOI-1442 b,TOI-1442,0.4090677
K2-199 c,K2-199,7.374694
WASP-82 b,WASP-82,2.70579
WASP-90 b,WASP-90,3.9162624
TOI-1260 d,TOI-1260,16.608164
55 Cnc c,55 Cnc,44.38
HAT-P-64 b,HAT-P-64,4.0072342
GJ 1252 b,GJ 1252,0.5182349
Kepler-41 b,Kepler-41,1.85557453748
55 Cnc f,55 Cnc,261.2
Kepler-522 b,Kepler-522,38.5833679
TOI-1775 b,TOI-1775,10.2405483
TOI-1174 b,TOI-1174,8.953458
TOI-1468 c,TOI-1468,15.5324384892
TOI-3362 b,TOI-3362,18.0953159
HAT-P-25 b,HAT-P-25,3.65281591
Kepler-68 c,Kepler-68,9.60504
HATS-41 b,HATS-41,4.1936656
Kepler-65 c,Kepler-65,5.859938722
TOI-1736 c,TOI-1736,571.25
TRAPPIST-1 c,TRAPPIST-1,2.4218233
Kepler-544 b,Kepler-544,21.41616926
Kepler-686 b,Kepler-686,1.59475349753
Kepler-37 b,Kepler-37,13.36731
HD 128311 b,HD 128311,422.0
WASP-93 b,WASP-93,2.7325375
Kepler-14 b,Kepler-14,6.7901235
TOI-3082 b,TOI-3082,1.926907
HATS-39 b,HATS-39,4.5776375
HD 17156 b,HD 17156,21.2164387
WASP-44 b,WASP-44,2.42381131
K2-32 c,K2-32,20.6602
WASP-173 A b,WASP-173 A,1.38665321
TOI-5634 A b,TOI-5634 A,2.2054776
KOI-94 d,KOI-94,22.34296949
K2-285 d,K2-285,10.45582
TOI-6695 b,TOI-6695,
Kepler-94 b,Kepler-94,2.508057497
HAT-P-24 b,HAT-P-24,
WASP-135 b,WASP-135,1.40137841
Kepler-10 d,Kepler-10,151.06
HD 73344 c,HD 73344,65.94
HD 158259 b,HD 158259,2.178
TOI-216.01,TOI-216,34.525528
KOI-94 d,KOI-94,22.342964828
TOI-6016 b,TOI-6016,4.023687
Kepler-1211 b,Kepler-1211,11.01816836
Kepler-1455 b,Kepler-1455,49.2768448
Kepler-875 b,Kepler-875,27.5073799
Kepler-382 b,Kepler-382,5.26212693
KMT-2023-BLG-0735L b,KMT-2023-BLG-0735L,
Kepler-279 c,Kepler-279,35.736
Kepler-834 b,Kepler-834,13.32388301
Kepler-762 b,Kepler-762,3.770552098
TOI-1775 b,TOI-1775,10.2405549
TOI-2015 b,TOI-2015,3.348968
TOI-4145 A b,TOI-4145 A,4.0664428
Kepler-74 b,Kepler-74,7.340711
Kepler-25 c,Kepler-25,12.7207
TOI-4495.01,TOI-4495,5.1830043
