LID,m_LID,U-B20,B-V20,V-r20,Vmag,Nr,SimbadName,_RA,_DE
1.00022879,,-0.1,0.56,0.47,,1,HD 022879,55.09193,-3.21698
1.00023249,,,0.89,0.66,3.57,1,HD 023249,55.81209,-9.76339
1.00025329,,,0.87,0.7,8.43,1,HD 025329,60.8125,35.27327
1.00030652,,,0.43,0.36,3.15,1,HD 030652,72.46005,6.96127
1.00031487,,1.03,1.37,0.95,,1,HD 031487,74.76553,51.94224
1.00032147,,,1.04,0.83,6.21,1,HD 032147,75.20417,-5.75367
1.0003245,,,1.39,1.25,8.26,1,HD 032450,75.61842,-21.25664
1.00036512,,,-0.24,-0.16,,1,HD 036512,82.98275,-7.30154
1.0003716,,,0.95,0.71,,2,HD 037160,84.22662,9.29067
1.00037394,,,0.83,0.65,6.22,1,HD 037394,85.33473,53.48106
1.00038392,,,0.92,0.73,6.12,1,HD 038392,86.1106,-22.42188
1.00038393,,,0.46,0.36,3.56,1,HD 038393,86.1158,-22.44838
1.00038751,,,1.03,0.72,,2,HD 038751,87.25402,24.56753
1.00039587,,,0.58,0.46,4.4,1,HD 039587,88.59576,20.27617
1.00043039,,,1.02,0.72,,2,HD 043039,93.84454,29.49808
1.00043834,,,0.75,0.54,5.06,1,HD 043834,92.56031,-74.75304
1.00046407,,0.77,1.08,0.71,,1,HD 046407,98.19531,-11.16638
1.00050281,,,1.01,0.84,6.61,1,HD 050281,103.07521,-5.17371
1.00061421,,,0.42,0.34,0.41,1,HD 061421,114.8255,5.22499
1.00072673,,,0.78,0.58,6.35,1,HD 072673,128.21457,-31.50085
1.00073589,,,0.95,0.66,,1,HD 073589,129.31238,-47.19887
1.0007428,,,-0.19,-0.12,,1,HD 074280,130.80615,3.39866
1.00074576,,,0.95,0.71,6.47,1,HD 074576,130.82513,-38.88238
1.00075632,,,1.35,1.21,8.08,1,HD 075632,133.85341,70.79421
1.00076396,,0.54,1.12,0.79,,1,HD 076396,134.49554,51.42991
1.00077247,,0.69,1.02,0.69,,1,HD 077247,135.88446,53.10828
1.0007921,,,1.37,1.24,7.72,1,HD 079210,138.59496,52.68659
1.00079211,,,1.38,1.25,7.82,1,HD 079211,138.6029,52.68641
1.00079452,,,0.83,0.63,,2,HD 079452,138.80936,34.63352
1.00082106,,,0.97,0.77,7.2,1,HD 082106,142.47844,5.65513
1.00082885,,,0.76,0.58,5.42,1,HD 082885,143.9146,35.81014
1.00085512,,,1.15,1.0,7.6,1,HD 085512,147.77938,-43.50278
1.0008823,,,1.35,1.16,6.6,1,HD 088230,152.84225,49.45424
1.00088284,,,0.99,0.7,,1,HD 088284,152.64699,-12.35408
1.00089484,,,1.15,0.82,,1,HD 089484,154.99345,19.84126
1.00090839,,,0.52,0.43,4.86,1,HD 090839,157.65658,55.98054
1.00091316,,,-0.16,-0.08,,1,HD 091316,158.2028,9.30659
1.00095272,,,1.07,0.75,,1,HD 095272,164.9436,-18.29878
1.00095689,,,1.1,0.76,,1,HD 095689,165.93196,61.75103
1.00097907,,,1.21,0.89,,1,HD 097907,168.96625,13.30757
1.001006,,,-0.16,-0.11,,1,HD 100600,173.67704,16.79692
1.00100623,,,0.81,0.63,5.9,1,HD 100623,173.62286,-32.83134
1.00101013,,0.8,1.06,0.68,,1,HD 101013,174.47085,50.61821
1.00101501,,,0.72,0.55,5.31,1,HD 101501,175.26257,34.20163
1.0010287,,,0.55,0.42,3.62,1,HD 102870,177.67383,1.76472
1.00103095,,,0.75,0.63,6.44,1,HD 103095,178.24487,37.71868
1.00107328,,,1.16,0.83,,1,HD 107328,185.08742,3.31257
1.00109358,,,0.59,0.48,4.28,1,HD 109358,188.4356,41.35748
1.00111631,,,1.37,1.2,8.51,1,HD 111631,192.68152,-0.76812
1.00112033,,,0.9,0.64,,1,HD 112033,193.32395,21.24495
1.00112869,,1.61,1.85,1.32,,1,HD 112869,194.84434,37.8177
1.00113226,,,0.92,0.63,,1,HD 113226,195.54416,10.95915
1.0011471,,,0.57,0.45,4.27,1,HD 114710,197.96831,27.87818
1.00115617,,,0.7,0.52,4.74,1,HD 115617,199.60131,-18.3112
1.0012137,,,0.59,0.45,2.69,1,HD 121370,208.67116,18.39772
1.00122563,,,0.88,0.76,,2,HD 122563,210.63269,9.6861
1.00123299,,-0.12,-0.07,-0.05,,1,HD 123299,211.09729,64.37585
1.0012666,,0.01,0.48,0.39,,1,HD 126660,216.29915,51.85074
1.00127665,,1.42,1.27,0.92,,1,HD 127665,217.95746,30.37144
1.00127762,,0.1,0.18,0.13,,1,HD 127762,218.01947,38.30825
1.00129312,,,1.02,0.7,,1,HD 129312,220.41146,8.16176
1.00130109,,-0.05,-0.02,-0.02,,2,HD 130109,221.56219,1.89288
1.00130952,,,0.98,0.7,,1,HD 130952,222.75447,-2.29915
1.00131156,,,0.74,0.59,4.73,1,HD 131156,222.84742,19.10047
1.00131511,,,0.79,0.66,5.99,1,HD 131511,223.34903,19.1528
1.00131976,,,1.42,1.42,8.07,1,HD 131976,224.36056,-21.41155
1.00131977,,,1.05,0.87,5.7,1,HD 131977,224.36667,-21.41548
1.00135722,,,0.95,0.67,,1,HD 135722,228.87568,33.31483
1.00135742,,-0.37,-0.12,-0.088,,2,HD 135742,229.25172,-9.38291
1.00136512,,,1.0,0.71,,1,HD 136512,230.03566,29.61621
1.00137391,,0.04,0.34,0.25,,1,HD 137391,231.12262,37.37715
1.00137759,,1.22,1.189,0.85,,2,HD 137759,231.23239,58.96606
1.00139006,,-0.04,0.0,-0.03,,1,HD 139006,233.67195,26.71469
1.00139195,,0.65,0.92,0.66,,2,HD 139195,234.12325,10.01018
1.00140159,,0.03,0.06,0.02,,1,HD 140159,235.38773,19.6704
1.00140573,,1.25,1.154,0.794,,2,HD 140573,236.06698,6.42563
1.00141004,,0.12,0.6,0.472,4.42,3,HD 141004,236.61089,7.35307
1.00142373,,0.0,0.55,0.47,,1,HD 142373,238.16892,42.45152
1.0014286,,-0.02,0.47,0.4,,1,HD 142860,239.11326,15.66162
1.0014309,,0.65,0.93,0.66,10.08,1,HD 143090,239.33593,29.77498
1.00143107,,1.26,1.22,0.862,,2,HD 143107,239.39688,26.87788
1.00144284,,0.11,0.57,0.43,,1,HD 144284,240.47228,58.56525
1.00144579,,,0.73,0.61,6.68,1,HD 144579,241.23664,39.15651
1.00146254,,,0.09,0.06,,1,HD 146254,243.96456,-14.84912
1.00147379,,,1.37,1.29,8.6,1,HD 147379,244.17811,67.23885
1.00147394,,-0.56,-0.15,-0.113,,2,HD 147394,244.93515,46.31336
1.00147473,,,0.35,0.26,,1,HD 147473,245.72331,-17.01914
1.00147547,,0.16,0.26,0.2,,1,HD 147547,245.48006,19.15313
1.00149661,,,0.81,0.61,5.74,1,HD 149661,249.08937,-2.32459
1.0015068,,0.22,0.635,0.488,2.85,2,HD 150680,250.3215,31.60272
1.00151288,,,1.33,1.19,8.09,1,HD 151288,251.27646,33.50923
1.00151877,,0.44,0.83,0.66,,1,HD 151877,252.14798,37.01337
1.00152792,,0.07,0.64,0.53,,1,HD 152792,253.3847,42.82486
1.00154363,,,1.14,0.98,7.7,1,HD 154363,256.26414,-5.06651
1.00155885,D,,0.85,0.68,4.31,1,HD 155885,258.83741,-26.60283
1.00157089,,0.1,0.59,0.49,,1,HD 157089,260.2794,1.44305
1.00157214,,0.09,0.63,0.49,,2,HD 157214,260.16486,32.46769
1.00157881,,1.18,1.331,1.16,7.48,2,HD 157881,261.43847,2.11142
1.00160346,,,0.94,0.74,6.45,1,HD 160346,264.82048,3.55524
1.00160693,,0.03,0.61,0.52,,1,HD 160693,264.90364,37.18375
1.00161096,,1.22,1.18,0.82,,1,HD 161096,265.86814,4.5673
1.00161797,,0.41,0.77,0.57,,1,HD 161797,266.61469,27.72068
1.00161868,,0.01,0.04,0.0,,1,HD 161868,266.97317,2.70728
1.0016381,,-0.29,0.62,0.53,,1,HD 163810,269.66021,-13.09712
1.00165195,,,1.28,1.04,,2,HD 165195,271.16696,3.77909
1.00165341,,,0.85,0.69,3.98,1,HD 165341,271.36369,2.5001
1.00165908,,-0.04,0.527,0.47,,2,HD 165908,271.75642,30.56214
1.00166208,,,0.93,0.69,,2,HD 166208,271.86975,43.4619
1.0016662,,,0.88,0.73,6.41,1,HD 166620,272.4059,38.45778
1.00170153,,-0.01,0.527,0.472,3.65,2,HD 170153,275.26409,72.73285
1.00172167,,,0.01,0.0,0.13,1,HD 172167,279.23473,38.78369
1.00173667,,0.04,0.48,0.4,,1,HD 173667,281.41552,20.54631
1.00175305,,0.14,0.77,0.64,,1,HD 175305,281.77683,74.7254
1.00176437,,-0.08,-0.04,0.01,,1,HD 176437,284.73593,32.68956
1.00178717,,1.82,1.81,1.25,,1,HD 178717,287.34171,10.24117
1.00182691,,-0.37,-0.08,-0.04,6.54,1,HD 182691,290.84911,50.27129
1.00184406,,,1.16,0.86,,2,HD 184406,293.52231,7.37894
1.00185144,,0.41,0.803,0.643,4.68,2,HD 185144,293.08996,69.66118
1.00186408,,0.17,0.64,0.5,,1,HD 186408,295.45397,50.52506
1.00186427,,0.18,0.65,0.51,,1,HD 186427,295.46655,50.51752
1.00187642,,,0.2,0.15,0.85,1,HD 187642,297.69583,8.86832
1.00187923,,0.15,0.65,0.52,,1,HD 187923,298.01433,11.62833
1.00188056,,,1.3,0.93,,2,HD 188056,297.65718,52.988
1.00188512,,0.49,0.858,0.658,,2,HD 188512,298.8283,6.40676
1.00193664,,0.06,0.6,0.49,,1,HD 193664,304.38053,66.85369
1.00195593,,0.69,0.99,0.83,,1,HD 195593,307.74679,36.93584
1.00195636,,-0.03,0.59,0.57,,1,HD 195636,308.20394,-9.36437
1.00196035,,-0.69,-0.14,-0.11,6.46,1,HD 196035,308.54159,20.98519
1.00196673,,0.92,1.11,0.76,,1,HD 196673,309.43468,33.36649
1.00196867,,-0.2,-0.07,-0.02,,1,HD 196867,309.90953,15.91207
1.00197076,,0.1,0.61,0.48,6.4,1,HD 197076,310.18808,19.93554
1.00197989,,0.88,1.06,0.77,,1,HD 197989,311.55284,33.97026
1.00198001,,0.02,0.01,0.02,,1,HD 198001,311.91897,-9.49577
1.00198149,,0.64,0.94,0.71,,1,HD 198149,311.3224,61.83878
1.00198478,,-0.47,0.4,0.41,,1,HD 198478,312.23455,46.11413
1.00199939,,1.0,1.25,0.79,,1,HD 199939,314.68123,44.41458
1.00201091,,,1.15,1.03,5.23,1,HD 201091,316.7248,38.74944
1.00201092,,,1.35,1.22,6.05,1,HD 201092,316.73027,38.74206
1.00201626,,0.51,1.1,0.76,,1,HD 201626,317.49697,26.61526
1.0020328,,0.1,0.237,0.193,,2,HD 203280,319.64488,62.58557
1.00203454,,-0.03,0.52,0.46,,1,HD 203454,320.25593,40.34507
1.00203608,,,0.5,0.41,4.17,1,HD 203608,321.61085,-65.3662
1.00205512,,,1.08,0.78,,2,HD 205512,323.69402,38.53406
1.00206165,,-0.55,0.28,0.28,,1,HD 206165,324.4801,62.08194
1.002091,,,1.02,0.87,4.68,1,HD 209100,330.84024,-56.78598
1.00209621,,1.16,1.45,0.83,,1,HD 209621,331.10476,21.05249
1.00210027,,-0.02,0.44,0.38,,1,HD 210027,331.75277,25.34511
1.00210839,,-0.73,0.26,0.28,,1,HD 210839,332.8774,59.41449
1.00211336,,0.07,0.3,0.26,,1,HD 211336,333.75915,57.04358
1.0021468,,-1.04,-0.202,-0.112,,2,HD 214680,339.81533,39.05027
1.00215182,,0.57,0.87,0.65,,1,HD 215182,340.75057,30.22124
1.00215648,,-0.01,0.51,0.43,,1,HD 215648,341.67325,12.17288
1.00216735,,-0.04,-0.01,-0.02,,1,HD 216735,343.80697,8.81616
1.00216803,,,1.06,0.9,6.47,1,HD 216803,344.10022,-31.56557
1.00217357,,,1.36,1.19,7.86,1,HD 217357,345.06717,-22.52435
1.00218329,,1.87,1.543,1.261,,2,HD 218329,346.75108,9.40949
1.00218658,,,0.82,0.63,,1,HD 218658,346.97439,75.3875
1.00219134,,0.89,1.006,0.84,5.53,3,HD 219134,348.32073,57.16836
1.00219617,,-0.18,0.47,0.43,,1,HD 219617,349.27102,-13.851
1.00220657,,0.17,0.6,0.49,,1,HD 220657,351.34493,23.4041
1.0022117,,,1.08,0.9,,2,HD 221170,352.37004,30.43274
1.00222107,,0.71,1.02,0.813,,3,HD 222107,354.39101,46.45815
1.00222237,,,0.96,0.84,7.08,1,HD 222237,354.90579,-72.72215
1.00222368,,0.01,0.513,0.403,,2,HD 222368,354.98767,5.62629
1.00222439,,-0.24,-0.073,-0.059,,2,HD 222439,355.10212,44.33393
1.00223778,,,0.95,0.83,6.34,1,HD 223778,358.10549,75.54459
1.0022493,,0.07,0.67,0.58,5.71,2,HD 224930,0.54232,27.08226
1.00224959,,0.47,1.07,0.7,,1,HD 224959,0.53343,-2.82007
1.00257925,,0.08,0.47,0.39,10.64,1,HD 257925,97.34815,30.75161
1.10135722,,0.66,0.95,0.69,,1,HD 135722,228.87568,33.31483
1.10161797,,,0.74,0.58,3.47,1,HD 161797,266.61469,27.72068
1.20135722,,0.0,0.59,0.46,,1,WDS J15155+3319B,228.90979,33.32092
2.26320253,,,0.96,0.66,,1,Cl* NGC 2632 KW 0253,130.02674,20.00779
2.26320283,,,1.01,0.67,,1,Cl* NGC 2632 KW 0283,130.09203,19.66994
2.26320428,,,0.96,0.66,,1,Cl* NGC 2632 KW 0428,130.45867,19.87417
2.26321133,,,0.68,0.5,,1,Cl* NGC 2632 VL  133,128.83102,19.59007
2.26820084,,,1.07,0.77,,1,NGC 2682 0084,132.8029,11.87844
2.26820105,,,1.24,0.89,,1,NGC 2682 0105,132.82126,11.8045
2.26820108,,,1.32,0.99,,1,NGC 2682 0108,132.82285,11.7563
2.26820141,,,1.11,0.76,,1,NGC 2682 0141,132.84501,11.80049
2.26820151,,,1.08,0.75,,1,NGC 2682 0151,132.85909,11.89777
2.26820164,,,1.11,0.77,,1,NGC 2682 0164,132.87079,11.84254
2.2682017,,,1.32,0.96,,1,NGC 2682 0170,132.8746,11.78802
2.26820223,,,1.08,0.75,,1,NGC 2682 0223,132.93287,11.94513
2.26820224,,,1.09,0.75,,1,NGC 2682 0224,132.93146,11.74069
2.26820244,,,0.93,0.65,,1,NGC 2682 0244,132.95918,11.76859
2.26820266,,,1.11,0.74,,1,NGC 2682 0266,132.99801,11.91803
2.26822793,,,1.43,1.06,,1,,,
2.26823153,,,1.06,0.75,,1,,,
2.26823465,,,1.43,1.16,,1,,,
2.26823533,,,1.07,0.77,,1,,,
5.20200044,,0.12,0.6,0.481,4.06,3,Cl Melotte 020 0044,47.26675,49.61328
5.20250001,,,,0.45,7.38,1,Cl Melotte 025 0001,49.35995,7.65581
5.20250002,,,,0.47,7.77,1,Cl Melotte 025 0002,49.38659,7.69015
5.20250005,,,,0.71,9.37,1,Cl Melotte 025 0005,54.39573,21.34318
5.20250007,,,,0.67,8.97,1,Cl Melotte 025 0007,58.77709,16.99848
5.20250014,,,,0.29,5.7,1,Cl Melotte 025 0014,62.83451,5.52305
5.20250015,,,,0.49,8.0,1,Cl Melotte 025 0015,63.63465,23.57494
5.20250017,,,,0.52,8.44,1,Cl Melotte 025 0017,63.60688,14.62503
5.20250019,,,,0.39,7.06,1,Cl Melotte 025 0019,63.64308,10.70138
5.20250025,,,,0.75,9.58,1,Cl Melotte 025 0025,64.5803,16.08834
5.20250026,,,,0.56,8.63,1,Cl Melotte 025 0026,64.74157,19.9067
5.20250027,,,,0.55,8.45,1,Cl Melotte 025 0027,64.78337,17.52475
5.20250028,,,0.98,0.69,,1,Cl Melotte 025 0028,64.94835,15.62764
5.2025003,,,,0.22,5.58,1,Cl Melotte 025 0030,64.99043,14.0352
5.20250035,,,,0.34,6.77,1,Cl Melotte 025 0035,65.38187,21.03988
5.20250037,,,,0.33,6.57,1,Cl Melotte 025 0037,65.39498,14.40979
5.2025004,,,,0.44,6.93,1,Cl Melotte 025 0040,65.68405,15.05609
5.20250041,,,0.98,0.68,,1,Cl Melotte 025 0041,65.73372,17.54251
5.20250042,,,,0.56,8.85,1,Cl Melotte 025 0042,65.84304,21.3791
5.20250043,,,,0.7,9.36,1,Cl Melotte 025 0043,65.84521,19.65867
5.20250045,,,,0.22,5.64,1,Cl Melotte 025 0045,65.85442,16.77726
5.20250046,,,,0.65,9.08,1,Cl Melotte 025 0046,65.88471,14.67048
5.20250047,,,,0.12,4.83,1,Cl Melotte 025 0047,66.024,17.44413
5.20250048,,,,0.41,7.1,1,Cl Melotte 025 0048,66.06073,21.73624
5.2025005,,,,0.48,7.56,1,Cl Melotte 025 0050,66.0519,14.75821
5.20250053,,,,0.31,5.96,1,Cl Melotte 025 0053,66.23803,19.04201
5.20250054,,,,0.09,4.25,1,Cl Melotte 025 0054,66.34235,22.29387
5.20250055,,,,0.2,5.29,1,Cl Melotte 025 0055,66.35423,22.2
5.20250056,,,,0.03,4.33,1,Cl Melotte 025 0056,66.37243,17.9279
5.20250068,,,,0.27,5.89,1,Cl Melotte 025 0068,67.09751,14.74098
5.20250069,,,,0.55,8.62,1,Cl Melotte 025 0069,67.15506,19.74068
5.2025007,,,1.01,0.7,,2,Cl Melotte 025 0070,67.15416,19.18043
5.20250071,,,0.94,0.68,,1,Cl Melotte 025 0071,67.14373,15.96218
5.20250072,,,,0.14,3.41,1,Cl Melotte 025 0072,67.16559,15.87088
5.20250073,,,,0.47,7.81,1,Cl Melotte 025 0073,67.20124,17.28546
5.20250079,,,,0.62,8.94,1,Cl Melotte 025 0079,67.38169,17.89318
5.20250081,,,,0.39,7.08,1,Cl Melotte 025 0081,67.57488,19.84058
5.20250089,,,,0.27,5.97,1,Cl Melotte 025 0089,67.96566,15.85156
5.20250096,,,,0.65,8.53,1,Cl Melotte 025 0096,68.49391,15.16362
5.20250097,,,,0.47,7.87,1,Cl Melotte 025 0097,68.64712,15.50462
5.20250104,,,,0.08,4.3,1,Cl Melotte 025 0104,69.53943,12.51084
5.20250109,,,,0.59,9.36,1,Cl Melotte 025 0109,70.02434,23.30454
5.20250126,,,,0.23,6.34,1,Cl Melotte 025 0126,73.74317,19.48539
5.2025013,,,,0.17,5.44,1,Cl Melotte 025 0130,77.33185,9.82958
5.20250142,,,,0.5,8.26,1,Cl Melotte 025 0142,71.62661,15.47205
5.20250151,,,,0.73,9.88,1,Cl Melotte 025 0151,76.41824,6.46518
5.2025017,,,,0.94,10.22,1,Cl Melotte 025 0170,57.76297,23.90365
5.20250174,,,,0.82,9.99,1,Cl Melotte 025 0174,66.07058,18.00291
5.20250175,,,,0.81,10.25,1,Cl Melotte 025 0175,66.251,16.98488
5.20250177,,,,0.9,10.43,1,Cl Melotte 025 0177,66.85557,14.26068
5.20250183,,,,0.68,9.64,1,Cl Melotte 025 0183,68.63407,15.82756
5.20250187,,,,0.57,8.96,1,Cl Melotte 025 0187,75.78191,13.73067
5.20253202,,,,1.25,11.13,1,Cl Melotte 025  202,49.34525,26.31503
5.20253222,,,,0.84,10.1,1,Cl Melotte 025  222,60.91266,19.45501
5.20253247,,,,1.24,11.92,1,Cl Melotte 025  247,64.05233,18.88486
5.2025326,,,,1.34,12.59,1,Cl Melotte 025  260,65.99641,16.72158
5.20253283,,,,1.33,12.28,1,Cl Melotte 025  283,67.9316,15.04108
5.20253286,,,,1.06,11.0,1,Cl Melotte 025  286,67.96862,15.49948
5.20253288,,,,1.05,10.99,1,Cl Melotte 025  288,68.10689,13.11323
5.20253303,,,,1.15,11.49,1,Cl Melotte 025  303,69.49265,4.66977
5.20253326,,,,1.06,10.93,1,Cl Melotte 025  326,71.57831,3.63634
5.20253337,,,,0.9,9.53,1,Cl Melotte 025  337,72.88914,28.63046
5.20253357,,,,0.95,10.96,1,Cl Melotte 025  357,79.03557,19.18236
6.0011597,,-0.19,0.49,0.5,,1,LTT 15970,306.18922,25.05197
6.00116531,,-0.17,0.47,0.51,,1,LTT 16531,334.65211,8.44582
6.00116957,,-0.12,0.67,0.53,12.73,1,LTT 16957,354.15725,59.97106
6.00118455,,-0.73,0.09,-0.05,13.29,1,LTT 18455,258.2755,69.52381
6.10010035,,,,0.33,,1,GJ 0035,12.29126,5.38861
6.10010742,,-0.84,0.06,0.08,13.24,1,GJ 0742,285.04271,70.66422
6.10010794,,-0.86,-0.08,-0.16,11.53,1,GJ 0794,308.59118,25.06382
6.10029464,,,,0.14,,1,GJ 9464,210.18859,18.09924
6.10029653,1,-0.82,0.05,0.0,12.21,1,GJ 9653,290.14551,-7.66669
6.10029743,,-0.68,0.07,-0.05,12.87,1,GJ 9743,321.74025,73.6457
6.10029838,2,-0.59,0.2,-0.04,12.84,1,GJ 9838,355.97128,32.5941
6.1006014,,-0.89,-0.05,0.0,12.6,1,GD 0140,174.27127,29.79954
6.10060177,,-0.19,0.47,0.39,12.53,1,GD 0177,227.87404,7.23906
6.10060213,,-0.19,0.51,0.42,12.77,1,GD 0213,265.87267,21.18304
6.10060219,,-0.66,0.08,-0.16,12.94,1,GD 0219,290.41842,14.67817
6.10060222,,-0.88,0.03,-0.03,13.55,1,GD 0222,294.61754,32.88886
6.10060242,,-0.06,0.42,0.4,10.34,1,GD 0242,343.29234,23.9588
6.10060245,,-0.88,0.0,0.21,13.58,1,GD 0245,344.70048,25.26222
6.10060274,,-0.8,0.12,0.27,12.13,1,GD 0274,16.79591,51.17298
6.10060279,,-0.63,0.06,-0.07,12.44,1,GD 0279,28.01233,47.00185
6.10060318,,-0.17,0.42,0.44,12.57,1,GD 0318,190.08067,48.66707
6.10060319,,-0.96,0.06,0.25,12.31,1,GD 0319,192.51783,55.10081
6.10060324,,-0.12,0.56,0.53,12.94,1,GD 0324,201.75226,56.90449
6.10060334,,-0.22,0.54,0.5,14.22,1,GD 0334,215.14514,57.44911
6.1006035,,-0.17,0.54,0.51,12.66,1,GD 0350,236.17266,60.28119
6.10060361,,-0.19,0.54,0.46,12.89,1,GD 0361,261.18704,40.99843
6.10060367,,-0.13,0.53,0.51,12.38,1,GD 0367,267.19814,47.18829
6.10060373,,-0.1,0.56,0.45,13.68,1,GD 0373,271.52066,31.63871
6.10060391,,-0.98,-0.15,-0.13,13.37,1,GD 0391,307.484,39.22556
6.10060394,,-0.17,-0.26,-0.18,13.06,1,GD 0394,318.18354,50.10494
6.10060403,,0.01,0.65,0.56,13.28,1,GD 0403,341.02022,44.26604
6.10060408,,-0.93,-0.04,-0.03,14.23,1,GD 0408,1.27862,73.2193
6.10060412,,0.12,0.68,0.53,10.87,1,GD 0412,10.10816,67.5554
6.10060413,,-0.08,0.56,0.49,12.0,1,GD 0413,15.66505,83.57242
6.10060414,,0.77,0.99,0.75,12.89,1,GD 0414,15.45775,66.78505
6.10060415,,0.01,0.69,0.64,12.68,1,GD 0415,15.64221,64.96614
